date,value
2017-06-25,1361.655817
2017-06-28,1389.285078
2017-07-01,1432.241403
2017-07-04,1501.005073
2017-07-07,1620.191682
2017-07-10,1653.349969
2017-07-13,1698.769143
2017-07-16,1760.357326
2017-07-19,1977.586095
2017-07-22,2005.791342
2017-07-25,2065.392689
2017-07-28,2105.625696
2017-07-31,2225.059257
2017-08-03,2268.024829
2017-08-06,2305.095697
2017-08-09,2392.379203
2017-08-12,2431.162143
2017-08-15,2470.78043
2017-08-18,2717.847967
2017-08-21,2757.04281
2017-08-24,2795.985634
2017-08-27,2840.298825
2017-08-30,2940.881262
2017-09-02,3217.665627
2017-09-05,3253.853713
2017-09-08,3295.513451
2017-09-11,3342.367489
2017-09-14,3521.600523
2017-09-17,3567.383097
2017-09-20,3617.786292
2017-09-23,3649.693136
2017-09-26,3683.985935
2017-09-29,3877.902294
2017-10-02,3977.568954
2017-10-05,4026.487995
2017-10-08,4074.432212
2017-10-11,4122.107267
2017-10-14,4202.940196
2017-10-17,4353.246215
2017-10-20,4401.48491
2017-10-23,4459.982994
2017-10-26,4517.107291
2017-10-29,4565.445924
2017-10-31,4778.543272
2017-11-03,4842.024982
2017-11-06,4968.268373
2017-11-09,5037.534914
2017-11-12,5094.950827
2017-11-15,5304.469043
2017-11-18,5450.58542
2017-11-21,5530.858119
2017-11-24,5608.64024
2017-11-27,6003.373978
2017-11-30,6088.595752
2017-12-03,6170.438173
2017-12-06,6258.619931
2017-12-09,6800.867029
2017-12-12,6886.151212
2017-12-15,6984.30527
2017-12-18,7073.93785
2017-12-21,7651.026033
2017-12-24,7729.394126
2017-12-27,8071.252795
2017-12-30,8466.732238
2018-01-02,8547.312583
2018-01-05,8625.08015
2018-01-08,8899.0299
2018-01-11,8960.474068
2018-01-14,9028.976401
2018-01-17,9087.46498
2018-01-20,9204.764111
2018-01-23,9256.400134
2018-01-26,9305.094809
2018-01-29,9356.510638
2018-02-01,9418.279116
2018-02-04,9630.003624
2018-02-07,9684.876831
2018-02-10,9741.993735
2018-02-13,9877.370248
2018-02-16,10094.229425
2018-02-19,10177.295633
2018-02-22,10262.906886
2018-02-25,10570.206945
