date,value
2015-07-30,643.886123571119
2015-07-31,612.957049837432
2015-08-01,600.3594262597807
2015-08-02,595.489241214059
2015-08-03,593.8138550924593
2015-08-04,592.6731827707902
2015-08-05,590.712093623428
2015-08-06,589.8319364943854
2015-08-07,594.5867614773758
2015-08-08,601.887560215483
2015-08-09,603.3794245175802
2015-08-10,605.6966481801256
2015-08-11,612.3364456394634
2015-08-12,615.271444141518
2015-08-13,618.6348335508753
2015-08-14,621.2046202170718
2015-08-15,622.2123008736364
2015-08-16,623.2368253379615
2015-08-17,623.840554875606
2015-08-18,625.0729410364336
2015-08-19,626.4180900765213
2015-08-20,627.4942310209917
2015-08-21,629.2373209219112
2015-08-22,630.0206722896197
2015-08-23,632.0435358029821
2015-08-24,633.6013787991637
2015-08-25,635.3098403652314
2015-08-26,636.500646372004
2015-08-27,638.9636950117412
2015-08-28,640.694241090331
2015-08-29,641.9659202391771
2015-08-30,645.5295364388476
2015-08-31,650.7124432294939
2015-09-01,656.0592413861657
2015-09-02,662.0315483935473
2015-09-03,667.6455704154947
2015-09-04,673.7592764888798
2015-09-05,679.4000799376048
2015-09-06,682.7612152747081
2015-09-07,685.594720887853
2015-09-08,690.2976907132149
2015-09-09,694.745621490196
2015-09-10,696.0098088590878
2015-09-11,698.7592269410475
2015-09-12,701.949264042608
2015-09-13,705.4095918782949
2015-09-14,709.8374210999131
2015-09-15,713.6597850332541
2015-09-16,717.1228110316554
2015-09-17,720.6196174579788
2015-09-18,724.998101704765
2015-09-19,727.8179833959753
2015-09-20,731.0972230451928
2015-09-21,735.4571140122496
2015-09-22,739.6701377970796
2015-09-23,743.3872233189923
2015-09-24,746.7845974670524
2015-09-25,750.0646192757906
2015-09-26,751.9579509144843
2015-09-27,753.0861539364528
2015-09-28,755.5253763390353
2015-09-29,757.9668549014239
2015-09-30,758.341652546346
2015-10-01,758.3283671570409
2015-10-02,758.5545719556936
2015-10-03,758.9966015256198
2015-10-04,759.446075967994
2015-10-05,760.0632267317883
2015-10-06,761.6486825543029
2015-10-07,763.500121496929
2015-10-08,764.4778540269072
2015-10-09,764.9683339734316
2015-10-10,766.5633403805351
2015-10-11,766.9729849679892
2015-10-12,767.8409747724692
2015-10-13,769.6540334257356
2015-10-14,770.3206249968323
2015-10-15,772.614790165492
2015-10-16,775.5575076755944
2015-10-17,776.707505481642
2015-10-18,777.6209343087145
2015-10-19,779.8615375454574
2015-10-20,779.9967692340939
2015-10-21,779.8401488669227
2015-10-22,779.0135671524273
2015-10-23,780.1290280309036
2015-10-24,779.7597528434561
2015-10-25,779.211679791942
2015-10-26,779.2369924660378
2015-10-27,782.2393194321378
2015-10-28,784.0001957763019
2015-10-29,785.7401682189533
2015-10-30,787.041931258699
2015-10-31,789.4103436171634
2015-11-01,789.7579847250101
2015-11-02,790.1090696676367
2015-11-03,792.3829709861016
2015-11-04,792.0802230335543
2015-11-05,793.1592820214009
2015-11-06,793.2884422327107
2015-11-07,800.4917566156561
2015-11-08,808.3499770372183
2015-11-09,808.6215262805887
2015-11-10,811.4752301271157
2015-11-11,820.0313927570253
2015-11-12,821.9015026043146
2015-11-13,822.4537911645504
2015-11-14,826.232790758383
2015-11-15,825.2504451860751
2015-11-16,825.0548254922608
2015-11-17,823.393174611284
2015-11-18,822.4556457188745
2015-11-19,826.185102906641
2015-11-20,827.5199369778053
2015-11-21,829.1731107318817
2015-11-22,829.1059033837804
2015-11-23,832.1776068645685
2015-11-24,834.7713816614144
2015-11-25,836.1545285685544
2015-11-26,835.1317949218824
2015-11-27,834.5257443593849
2015-11-28,833.1759972802898
2015-11-29,833.0196380262452
2015-11-30,834.7449719209482
2015-12-01,836.870498715236
2015-12-02,838.2049084957741
2015-12-03,836.0102241432162
2015-12-04,837.3867700820717
2015-12-05,838.1191732115112
2015-12-06,840.2779770464962
2015-12-07,832.6080440356019
2015-12-08,824.4723917903715
2015-12-09,824.236944528116
2015-12-10,823.7813479934263
2015-12-11,818.4544150879459
2015-12-12,819.8621453803736
2015-12-13,821.0920218198514
2015-12-14,848.2445823924302
2015-12-15,882.8089295527186
2015-12-16,897.2601362796836
2015-12-17,906.9549029494889
2015-12-18,916.3968086796062
2015-12-19,920.6401387548666
2015-12-20,930.2812553776243
2015-12-21,941.6081716648464
2015-12-22,982.5962940407364
2015-12-23,1005.2990219356928
2015-12-24,1020.7538631077534
2015-12-25,1028.5794629037302
2015-12-26,1038.2358624912126
2015-12-27,1064.416810008125
2015-12-28,1079.9168441658976
2015-12-29,1094.0307822129848
2015-12-30,1117.3710581063024
2015-12-31,1124.3735050816351
2016-01-01,1126.5529033153612
2016-01-02,1132.397665651971
2016-01-03,1137.4450909946404
2016-01-04,1142.3100044799337
2016-01-05,1159.6115419524656
2016-01-06,1185.537522640456
2016-01-07,1211.492772032931
2016-01-08,1221.5228591813832
2016-01-09,1234.497667108328
2016-01-10,1239.8100400417
2016-01-11,1244.5363964493029
2016-01-12,1252.8432420733936
2016-01-13,1241.8815581519095
2016-01-14,1216.1334717027353
2016-01-15,1209.1554483507955
2016-01-16,1206.299047288004
2016-01-17,1200.616821813413
2016-01-18,1202.1992751261753
2016-01-19,1202.3096575355744
2016-01-20,1195.2216896259854
2016-01-21,1158.5012054781391
2016-01-22,1141.2867364272981
2016-01-23,1128.4097426605942
2016-01-24,1126.7804271981888
2016-01-25,1135.4839588002785
2016-01-26,1123.9186160631177
2016-01-27,1134.826931557474
2016-01-28,1142.3095651857398
2016-01-29,1133.7629582291324
2016-01-30,1137.821092110971
2016-01-31,1146.1807101737045
2016-02-01,1150.4184956722954
2016-02-02,1154.49290712973
2016-02-03,1157.1017781977982
2016-02-04,1146.7962928849456
2016-02-05,1132.274685010722
2016-02-06,1136.537073636192
2016-02-07,1134.743914732492
2016-02-08,1128.8833007926617
2016-02-09,1128.5043626096315
2016-02-10,1130.1143506567291
2016-02-11,1136.3077252073383
2016-02-12,1127.8839976561708
2016-02-13,1133.2237993949102
2016-02-14,1137.6817193391785
2016-02-15,1142.9962920242447
2016-02-16,1151.0415609799695
2016-02-17,1157.9915471241773
2016-02-18,1158.0831814620399
2016-02-19,1164.6736029861866
2016-02-20,1168.0984743915453
2016-02-21,1168.8775324817323
2016-02-22,1175.0284573035099
2016-02-23,1179.168011830795
2016-02-24,1171.6318485001912
2016-02-25,1167.8201794029926
2016-02-26,1158.5779575698284
2016-02-27,1147.8358792885265
2016-02-28,1140.625291940544
2016-02-29,1140.5021092650982
2016-03-01,1141.2062620368629
2016-03-02,1145.1368540659926
2016-03-03,1150.8424289105144
2016-03-04,1157.1609177753596
2016-03-05,1164.7523967461
2016-03-06,1173.0512582036401
2016-03-07,1157.7239917225152
2016-03-08,1164.928932599962
2016-03-09,1173.1256622196918
2016-03-10,1179.4323765719785
2016-03-11,1182.9195936204683
2016-03-12,1186.4183555988238
2016-03-13,1193.8038118689683
2016-03-14,1203.1112291720747
2016-03-15,1209.0367329476471
2016-03-16,1215.3570209714453
2016-03-17,1225.133419206075
2016-03-18,1229.7296802721166
2016-03-19,1242.5485046102601
2016-03-20,1252.1876348524045
2016-03-21,1267.2373579746334
2016-03-22,1282.6946340021316
2016-03-23,1297.334834746389
2016-03-24,1322.157477974374
2016-03-25,1339.238181334603
2016-03-26,1353.3649693817606
2016-03-27,1352.4279775871241
2016-03-28,1367.953573668932
2016-03-29,1377.8963173451825
2016-03-30,1391.132544883683
2016-03-31,1399.4284235699597
2016-04-01,1409.2292314375059
2016-04-02,1408.7804500850414
2016-04-03,1408.6330559737762
2016-04-04,1414.8866449325358
2016-04-05,1420.2851165274062
2016-04-06,1424.2532620087886
2016-04-07,1429.6626874637814
2016-04-08,1438.376430195333
2016-04-09,1441.5846314144374
2016-04-10,1443.9155076762356
2016-04-11,1439.8239382080124
2016-04-12,1441.8026356549503
2016-04-13,1441.0030744821843
2016-04-14,1443.932602660571
2016-04-15,1447.1257177252746
2016-04-16,1440.2612330633915
2016-04-17,1457.4049770598428
2016-04-18,1452.635266461871
2016-04-19,1448.3459520757206
2016-04-20,1443.7273384225819
2016-04-21,1443.3844524902365
2016-04-22,1435.426998677457
2016-04-23,1415.711656104931
2016-04-24,1409.4373156315205
2016-04-25,1404.8014155829235
2016-04-26,1407.5915510897366
2016-04-27,1399.1290712319824
2016-04-28,1399.744375685864
2016-04-29,1394.7688920764049
2016-04-30,1400.8595196608653
2016-05-01,1407.1227946087236
2016-05-02,1415.2970739243474
2016-05-03,1422.017041144707
2016-05-04,1421.8817605126956
2016-05-05,1420.4888109957092
2016-05-06,1430.1052181818698
2016-05-07,1429.1192495202056
2016-05-08,1428.7641399362644
2016-05-09,1433.4905146063663
2016-05-10,1440.1658241631253
2016-05-11,1450.0554457861158
2016-05-12,1457.652983471661
2016-05-13,1464.2161484237265
2016-05-14,1473.4589384873057
2016-05-15,1477.7079140696587
2016-05-16,1486.911949689049
2016-05-17,1473.5003037330187
2016-05-18,1484.7633496043832
2016-05-19,1493.399031049962
2016-05-20,1503.9969704822324
2016-05-21,1509.6134648038446
2016-05-22,1516.385140271922
2016-05-23,1526.3220410158792
2016-05-24,1529.4986826198194
2016-05-25,1538.5369957676594
2016-05-26,1551.4962735899499
2016-05-27,1565.2561101333347
2016-05-28,1599.5229663875898
2016-05-29,1607.9287820960274
2016-05-30,1606.4362368988122
2016-05-31,1603.5428811316374
2016-06-01,1606.2737396530392
2016-06-02,1606.5045662757973
2016-06-03,1604.1926355944177
2016-06-04,1601.6262551016569
2016-06-05,1593.9866415340684
2016-06-06,1595.680022237847
2016-06-07,1601.0916411684595
2016-06-08,1600.337149068116
2016-06-09,1600.1813028703828
2016-06-10,1596.1405569398091
