miner,count
AntPool,368
F2Pool,338
Unknown,324
Poolin,309
ViaBTC,211
Binance,200
BTC.com,157
Huobi,135
BTC.TOP,63
SlushPool,55
OKEX,22
EMCD,18
TMSPOOL,12
SpiderPool,7
OKKONG,6
SigmaPool,6
