date,btc,eth
2021-03-13,1143215732518.7434,221704120650.41724
2021-03-14,1117474232904.1155,215625919208.392
2021-03-15,1046930473230.8708,206762944415.37283
2021-03-16,1054059319176.537,206792698648.67688
2021-03-17,1094827655431.3871,209339375192.33493
2021-03-18,1077129119414.3889,205079460267.17673
2021-03-19,1085329605069.3691,208410812272.5141
2021-03-20,1086873922161.5631,208708414792.51788
2021-03-21,1072003269491.2437,205506291532.18893
2021-03-22,1016170477565.7163,194519667400.10217
2021-03-23,1018286990169.8546,192542945083.15662
2021-03-24,981605643201.5552,182789588504.4638
2021-03-25,962090739266.12,183047211490.71204
2021-03-26,1023183245013.2985,195366502669.0227
2021-03-27,1045674049178.2086,197976262837.72992
2021-03-28,1040002658248.1864,194201482642.24466
2021-03-29,1074744167036.5872,208744323029.58218
2021-03-30,1095581166692.6075,212195947097.07883
2021-03-31,1097648506570.546,220982847396.4371
2021-04-01,1098201835461.6189,227276354248.1595
2021-04-02,1102222111989.4219,246078442166.14224
2021-04-03,1069609423123.5428,233546432255.5399
2021-04-04,1086837744784.4451,239600021274.1741
2021-04-05,1097233663848.4355,242181026437.47818
2021-04-06,1084740698496.7766,244213705737.62222
2021-04-07,1050858458013.2948,229069882928.3973
2021-04-08,1082591596128.1455,239845561944.21823
2021-04-09,1084298143058.165,238431251147.0455
2021-04-10,1114237875675.663,245861629814.0504
2021-04-11,1119547961330.9446,247527882407.27594
2021-04-12,1119097619041.5125,247378816146.0744
2021-04-13,1185278789468.1714,265311012016.44638
2021-04-14,1174568449691.4595,280631198940.4492
2021-04-15,1181393313259.5356,290974868301.8915
2021-04-16,1150416986978.1597,280471732562.21674
2021-04-17,1126344072578.019,270548139870.69476
2021-04-18,1053678758609.2681,259179988021.6956
2021-04-19,1042661468497.9923,250560894838.45178
2021-04-20,1055343018461.8728,269065183033.9487
2021-04-21,1009620339154.9825,273198256978.28336
2021-04-22,969605047752.2134,279668865672.6516
2021-04-23,952320874673.5842,272467575525.20456
2021-04-24,939751744133.4487,258564440020.34406
2021-04-25,914880447463.5385,265990952570.61673
2021-04-26,1008308106916.2404,292097657821.71375
2021-04-27,1028613088872.3914,306042981828.6309
2021-04-28,1024181924008.5573,316937218930.9912
2021-04-29,1001410824175.2203,319319623404.8617
2021-04-30,1079500865486.8407,320488373921.462
2021-05-01,1081834705464.8834,341239720548.1778
2021-05-02,1057763322365.5809,341644766468.07385
2021-05-03,1070362250436.1665,397022679801.67285
2021-05-04,1004624064123.3466,379041514762.65717
2021-05-05,1072334244435.8468,408144295381.2857
2021-05-06,1057159380527.9105,405253435916.4331
2021-05-07,1072438910564.6577,403226735702.2348
2021-05-08,1098593174225.6294,450070687070.47955
2021-05-09,1090287204598.6418,453517845754.1314
2021-05-10,1045729267184.1483,457995692214.1882
2021-05-11,1059056066491.1912,481388600303.5072
2021-05-12,953606762907.2689,460560266540.41125
2021-05-13,923653159148.4513,427206186463.12134
2021-05-14,935459104298.8987,473554590654.4991
2021-05-15,880310927346.3748,425618801171.98285
2021-05-16,861161597488.6411,413294498967.8197
2021-05-17,813851735267.469,380211788103.6748
2021-05-18,800731332066.7421,390482238053.91876
2021-05-19,704438836807.3654,294003686331.7096
2021-05-20,763545013579.125,322121691626.41656
2021-05-21,695728769937.6442,279952270727.2266
2021-05-22,704535197246.9867,269181825829.55524
2021-05-23,650860805397.6799,244245212791.9618
2021-05-24,723066857297.3595,304665762380.67554
2021-05-25,716346014295.941,312870946559.48883
2021-05-26,733691994944.9177,332881080273.56323
