date,btc,eth
2015-07-30,1.44701388888889,0
2015-07-31,1.68336805555556,0
2015-08-01,1.71821759259259,0
2015-08-02,1.20337962962963,0
2015-08-03,1.38190972222222,0
2015-08-04,1.53918981481481,0
2015-08-05,1.51983796296296,0
2015-08-06,1.5603125,0
2015-08-07,1.33546296296296,0.0237268518518519
2015-08-08,1.16840277777778,0.0333449074074074
2015-08-09,1.02018518518519,0.0153819444444444
2015-08-10,1.34175925925926,0.0235763888888889
2015-08-11,1.34237268518519,0.0574421296296296
2015-08-12,1.35381944444444,0.0235648148148148
2015-08-13,1.34037037037037,0.0328935185185185
2015-08-14,1.27914351851852,0.0367361111111111
2015-08-15,1.11582175925926,0.0264351851851852
2015-08-16,1.02565972222222,0.0282407407407407
2015-08-17,1.39619212962963,0.0290740740740741
2015-08-18,1.36199074074074,0.0288657407407407
2015-08-19,1.34769675925926,0.0375694444444444
2015-08-20,1.38248842592593,0.0266550925925926
2015-08-21,1.30568287037037,0.0453587962962963
2015-08-22,1.20769675925926,0.0414236111111111
2015-08-23,1.0883912037037,0.0484953703703704
2015-08-24,1.46304398148148,0.0512962962962963
2015-08-25,1.42319444444444,0.0519328703703704
2015-08-26,1.43262731481481,0.0481018518518519
2015-08-27,1.35483796296296,0.0646990740740741
2015-08-28,1.3891087962963,0.0550694444444444
2015-08-29,1.26208333333333,0.0479050925925926
2015-08-30,1.12009259259259,0.0529166666666667
2015-08-31,1.49400462962963,0.0601388888888889
2015-09-01,1.51828703703704,0.0596412037037037
2015-09-02,1.74771990740741,0.0601273148148148
2015-09-03,1.44991898148148,0.0552893518518519
2015-09-04,1.18210648148148,0.0653009259259259
2015-09-05,1.47594907407407,0.0638773148148148
2015-09-06,1.22597222222222,0.063900462962963
2015-09-07,1.43967592592593,0.0659953703703704
2015-09-08,1.47923611111111,0.0650694444444444
2015-09-09,1.43524305555556,0.0648611111111111
2015-09-10,1.42627314814815,0.0618171296296296
