date,value
2010-12-07,56.038866
2010-12-10,56.435682
2010-12-13,57.031172
2010-12-16,57.541328
2010-12-19,58.036522
2010-12-22,58.682062
2010-12-25,59.159055
2010-12-28,59.696284
2010-12-31,60.189594
2011-01-03,60.959881
2011-01-06,61.804482
2011-01-09,62.815615
2011-01-12,63.906472
2011-01-15,64.957429
2011-01-18,65.758762
2011-01-21,66.684186
2011-01-24,68.020446
2011-01-27,68.879935
2011-01-30,70.741511
2011-02-02,71.943578
2011-02-05,72.757291
2011-02-08,73.600472
2011-02-11,75.370258
2011-02-14,77.254947
2011-02-17,79.189986
2011-02-20,80.962911
2011-02-23,82.895927
2011-02-26,84.800005
2011-03-01,86.964611
2011-03-04,89.242074
2011-03-07,91.36275
2011-03-10,93.378881
2011-03-13,95.652146
2011-03-16,98.375801
2011-03-19,101.025112
2011-03-22,104.725492
2011-03-25,107.682255
2011-03-29,110.896558
2011-04-01,113.192627
2011-04-04,115.068527
2011-04-07,117.315633
2011-04-10,119.235205
2011-04-13,121.592151
2011-04-16,124.507747
2011-04-19,127.514321
2011-04-22,130.776326
2011-04-25,133.433442
2011-04-28,137.827503
2011-05-01,142.209625
2011-05-04,146.2448
2011-05-07,150.226779
2011-05-10,154.222732
2011-05-13,158.467535
2011-05-16,163.99383
2011-05-19,170.245944
2011-05-22,176.275441
2011-05-25,182.960341
2011-05-28,190.332517
2011-05-31,196.474636
2011-06-03,204.843866
2011-06-06,215.916748
2011-06-09,229.521634
2011-06-12,243.817663
2011-06-15,259.610382
2011-06-18,275.465837
2011-06-21,289.430685
2011-06-24,301.858985
2011-06-27,314.536892
2011-06-30,328.648109
2011-07-03,340.895617
2011-07-06,352.408932
2011-07-09,364.574656
2011-07-12,376.174472
2011-07-15,387.232659
2011-07-18,397.914982
2011-07-21,410.496384
2011-07-24,421.329017
2011-07-27,433.044348
2011-07-30,443.480063
2011-08-02,453.295824
2011-08-05,464.112841
2011-08-08,473.203119
2011-08-11,484.544383
2011-08-14,493.700352
2011-08-17,505.054376
2011-08-20,515.227927
2011-08-23,525.106528
2011-08-26,534.661846
2011-08-29,543.54839
2011-09-01,553.123101
2011-09-04,561.534208
2011-09-07,573.517054
2011-09-10,583.291292
2011-09-13,592.190091
2011-09-16,600.362512
2011-09-19,607.791988
2011-09-22,618.577671
2011-09-25,626.578908
2011-09-28,634.278279
2011-10-01,641.426865
2011-10-04,648.461152
2011-10-07,656.0492
2011-10-10,663.081137
2011-10-13,670.80771
2011-10-16,677.885425
2011-10-19,684.899667
2011-10-22,690.87503
2011-10-25,697.757987
2011-10-28,704.131586
2011-10-30,710.852323
2011-11-02,717.585556
2011-11-05,725.295254
2011-11-08,732.320707
2011-11-11,739.895874
2011-11-14,747.005883
2011-11-17,754.602016
2011-11-20,761.302707
2011-11-23,767.86159
2011-11-26,774.501356
2011-11-29,782.169304
2011-12-02,791.090335
2011-12-05,798.501717
2011-12-08,807.330621
2011-12-11,814.764844
2011-12-14,822.015065
2011-12-17,828.469309
2011-12-20,836.526965
2011-12-23,843.854678
2011-12-26,850.48504
2011-12-29,857.365908
2012-01-01,864.547504
2012-01-04,873.24615
2012-01-07,883.666477
2012-01-10,894.51238
2012-01-13,904.86685
2012-01-16,914.206026
2012-01-19,923.67785
2012-01-22,931.958009
2012-01-25,941.64926
2012-01-28,950.468832
2012-01-31,959.456529
2012-02-03,969.151775
2012-02-06,978.210252
2012-02-09,987.668096
2012-02-12,998.049807
2012-02-15,1010.203878
2012-02-18,1020.229808
2012-02-21,1028.453025
2012-02-24,1038.659625
2012-02-27,1047.37865
2012-03-01,1056.971758
2012-03-04,1065.948078
2012-03-07,1075.616753
2012-03-10,1085.005454
2012-03-13,1094.49012
2012-03-16,1104.173982
2012-03-19,1112.911836
2012-03-22,1122.071319
2012-03-26,1130.304996
2012-03-29,1139.884052
2012-04-01,1149.184617
2012-04-04,1158.509095
2012-04-07,1168.668112
2012-04-10,1177.033512
2012-04-13,1188.206634
2012-04-16,1198.200471
2012-04-19,1210.489189
2012-04-22,1221.962507
2012-04-25,1231.758429
2012-04-28,1242.802291
2012-05-01,1253.742901
2012-05-04,1269.37973
2012-05-07,1287.068964
2012-05-10,1310.931188
2012-05-13,1332.764008
2012-05-16,1361.655817
2012-05-19,1389.285078
2012-05-22,1432.241403
2012-05-25,1466.775632
2012-05-28,1501.005073
2012-05-31,1539.306923
2012-06-03,1566.560037
2012-06-06,1620.191682
2012-06-09,1653.349969
2012-06-12,1698.769143
2012-06-15,1760.357326
2012-06-18,1822.958258
2012-06-21,1872.478265
2012-06-24,1906.613744
2012-06-27,1942.816697
2012-06-30,1977.586095
2012-07-03,2005.791342
2012-07-06,2035.15284
2012-07-09,2065.392689
2012-07-12,2105.625696
2012-07-15,2137.629088
2012-07-18,2178.951852
2012-07-21,2225.059257
2012-07-24,2268.024829
2012-07-27,2305.095697
2012-07-30,2345.405384
2012-08-02,2392.379203
2012-08-05,2431.162143
2012-08-08,2470.78043
2012-08-11,2511.923818
2012-08-14,2559.460411
2012-08-17,2618.279738
2012-08-20,2668.966704
2012-08-23,2717.847967
2012-08-26,2757.04281
2012-08-29,2795.985634
2012-09-01,2840.298825
2012-09-04,2887.420592
2012-09-07,2940.881262
2012-09-10,2981.250309
2012-09-13,3023.672064
2012-09-16,3064.569171
2012-09-19,3102.894725
2012-09-22,3143.584312
2012-09-25,3180.762502
2012-09-28,3217.665627
2012-10-01,3253.853713
2012-10-04,3295.513451
2012-10-07,3342.367489
2012-10-10,3392.262647
2012-10-13,3432.319576
2012-10-16,3475.109968
2012-10-19,3521.600523
2012-10-22,3567.383097
2012-10-25,3617.786292
2012-10-28,3649.693136
2012-10-30,3683.985935
2012-11-02,3721.492715
2012-11-05,3759.544536
2012-11-08,3806.231331
