date,usd,btc
2015-08-08,1.19999,0.004589744636468906
2015-08-09,1.19999,0.00450544753676526
2015-08-10,1.19999,0.00452948069684342
2015-08-11,0.99,0.003647460274018426
2015-08-12,1.288,0.0048033915793596746
2015-08-13,1.8848,0.007120739005894424
2015-08-14,1.79504416247808,0.006739268333947813
2015-08-15,1.78222244301578,0.006804016059144797
2015-08-16,1.53307377556984,0.005920785293245857
2015-08-17,1.29638,0.005024545650337459
2015-08-18,1.08418656925774,0.004975937650241749
2015-08-19,1.24,0.0054573080711341855
2015-08-20,1.5218,0.006461340480251087
2015-08-21,1.43588,0.006167853046626019
2015-08-22,1.4,0.0060700876612872845
2015-08-23,1.35,0.005903624667210915
2015-08-24,1.23804,0.005841025879649374
2015-08-25,1.27119,0.0057092352508013025
2015-08-26,1.18,0.00521854422554814
2015-08-27,1.13646,0.005052283364867193
2015-08-28,1.295,0.005577789944767311
2015-08-29,1.179,0.0051299634206219
2015-08-30,1.32,0.005763699520310701
2015-08-31,1.30651,0.0056635009048226345
2015-09-01,1.36,0.005966074869127209
2015-09-02,1.30828087083577,0.005700516076976262
2015-09-03,1.23357,0.005431665865395113
2015-09-04,1.23357,0.005336028210467403
2015-09-05,1.36287107188779,0.005777251821444283
2015-09-06,1.34,0.005564657594961415
2015-09-07,1.27561,0.005301046556499201
2015-09-08,1.26349378725891,0.005174542980344357
2015-09-09,1.21,0.005068647432188013
2015-09-10,1.1857,0.004966272796076542
2015-09-11,0.927715708357686,0.0038519200194817044
2015-09-12,1.14639,0.004850353768968832
2015-09-13,0.88557,0.0038411384342874996
2015-09-14,0.955,0.004135115769784746
2015-09-15,0.95,0.004123289122454696
2015-09-16,0.93634,0.004088048233933778
2015-09-17,0.875,0.0037521006751372737
2015-09-18,0.85226,0.003655020999221409
2015-09-19,0.883689479836353,0.0038050444074607882
2015-09-20,0.94116,0.004067905199921013
2015-09-21,0.94116,0.004150221326034247
2015-09-22,0.80588,0.0034943108537640716
2015-09-23,0.91,0.0039542448203935075
2015-09-24,0.8,0.0034141364329375486
2015-09-25,0.68233,0.0028968971353576767
2015-09-26,0.77032,0.003283661034175375
2015-09-27,0.700769905318527,0.003004458760418352
2015-09-28,0.604208065458796,0.0025173525104458657
2015-09-29,0.68163,0.002872001418155895
2015-09-30,0.713644313851549,0.003014466384741014
2015-10-01,0.654722555230859,0.002748281353394517
2015-10-02,0.66467,0.0027934704547499106
2015-10-03,0.6796,0.002834786139504028
2015-10-04,0.60954,0.0025448723519654695
2015-10-05,0.60777,0.0025222731506496002
2015-10-06,0.65114,0.002636829538384
2015-10-07,0.6,0.002461695132908126
2015-10-08,0.633798841028638,0.0026079076584239577
2015-10-09,0.635190847457627,0.002598460782426802
2015-10-10,0.635190847457627,0.002582539327853728
2015-10-11,0.59931,0.002411436945323999
2015-10-12,0.63,0.002560001171882198
2015-10-13,0.601639343658679,0.002402029062707106
2015-10-14,0.483236302162478,0.001908951026385899
2015-10-15,0.559861985973115,0.0021981835111052886
2015-10-16,0.525,0.0019981931520134948
2015-10-17,0.52299,0.001923245666963269
2015-10-18,0.505,0.0019166418136488386
2015-10-19,0.499479725306838,0.0018893727139703725
2015-10-20,0.440034716540035,0.0016247502965427902
2015-10-21,0.42,0.001566929036209287
